#y-axis,bench,compiler,runtime,relPerfGain,,,
230,Kernel 1 [C],FJclang,-0.594,-0.5940136054,0.003675,-0.594,
229,Kernel 2 [C],FJclang,-0.580,-0.5796427698,0.004087,-0.580,
228,Kernel 3 [F],FJclang,-0.196,-0.1955782627,1.28E-02,-0.196,
227,Kernel 4 [F],FJclang,-0.015,-0.01468189235,2.05E-03,-0.015,
226,Kernel 5 [F],FJclang,-0.406,-0.4055168041,1.50E-03,-0.406,
225,Kernel 6 [F],FJclang,0.003,0.002601005951,2.75E-03,0.003,
224,Kernel 7 [F],FJclang,-0.028,-0.02776187754,8.33E-04,-0.028,
223,Kernel 8 [F],FJclang,0.056,0.05641625262,8.97E-03,0.056,
222,Kernel 9 [F],FJclang,-0.003,-0.002770083161,8.69E-03,-0.003,
221,Kernel 10 [F],FJclang,-0.027,-0.02697356526,1.33E-03,-0.027,
220,Kernel 11 [F],FJclang,-0.005,-0.005431785586,8.65E-03,-0.005,
219,Kernel 12 [F],FJclang,-0.043,-0.04337431687,6.98E-04,-0.043,
218,Kernel 13 [F],FJclang,0.007,0.006690226265,8.84E-03,0.007,
217,Kernel 14 [F],FJclang,0.000,0.0001104544837,8.63E-03,0.000,
216,Kernel 15 [F],FJclang,0.004,0.004105042548,8.19E-03,0.004,
215,Kernel 16 [C],FJclang,-0.066,-0.06611570248,0.000605,-0.066,
214,Kernel 17 [F],FJclang,-0.044,-0.04400102327,9.32E-04,-0.044,
213,Kernel 18 [F],FJclang,0.127,0.1267672006,5.06E-04,0.127,
212,Kernel 19 [F],FJclang,0.009,0.008741648126,8.56E-03,0.009,
211,Kernel 20 [F],FJclang,-0.007,-0.006926407011,8.81E-03,-0.007,
210,Kernel 21 [C],FJclang,-0.682,-0.6818873668,0.001971,-0.682,
209,Kernel 22 [C],FJclang,compile error,-1,compile error,compile error,
208,,FJclang,,0,,,
207,correlation [C],FJclang,1.152,1.152071426,4.991859592,1.152,
206,covariance [C],FJclang,1.150,1.149819428,4.993389438,1.150,
205,gemm [C],FJclang,2.857,2.856671461,0.4224559292,2.857,
204,gemver [C],FJclang,19.289,19.28884723,0.004556469619,19.289,
203,gesummv [C],FJclang,0.008,0.008417896242,0.02459615842,0.008,
202,symm [C],FJclang,0.913,0.9130818283,6.529161059,0.913,
201,syr2k [C],FJclang,0.556,0.5564086396,4.12721957,0.556,
200,syrk [C],FJclang,0.490,0.4904614095,2.019885583,0.490,
199,trmm [C],FJclang,0.906,0.9061258226,3.287699297,0.906,
198,2mm [C],FJclang,2.800,2.800220271,4.808073245,2.800,
197,3mm [C],FJclang,2.856,2.85568413,7.875464475,2.856,
196,atax [C],FJclang,13.141,13.14126663,0.003303574398,13.141,
195,bicg [C],FJclang,-0.073,-0.07279367725,0.0614610631,-0.073,
194,doitgen [C],FJclang,12.307,12.3074866,0.4372900007,12.307,
193,mvt [C],FJclang,25.995,25.99524513,0.003149735741,25.995,
192,cholesky [C],FJclang,-0.862,-0.8620982147,6.36618936,-0.862,
191,durbin [C],FJclang,-0.544,-0.5437206792,0.003219595179,-0.544,
190,gramschmidt [C],FJclang,0.024,0.02401908404,12.56094704,0.024,
189,lu [C],FJclang,1.246,1.246456987,12.72236872,1.246,
188,ludcmp [C],FJclang,-0.025,-0.02475505873,7.3235163,-0.025,
187,trisolv [C],FJclang,1.387,1.386926958,0.009042897262,1.387,
186,deriche [C],FJclang,-0.096,-0.09574728667,0.8324800245,-0.096,
185,floyd-warshall [C],FJclang,1.515,1.515262768,0.1447613277,1.515,
184,nussinov [C],FJclang,0.941,0.9412910461,11.82204276,0.941,
183,adi [C],FJclang,0.572,0.5719418555,30.79076837,0.572,
182,fdtd-2d [C],FJclang,3.578,3.577608844,0.7412890149,3.578,
181,heat-3d [C],FJclang,3.806,3.80592415,1.778890897,3.806,
180,jacobi-1d [C],FJclang,4.173,4.17343457,0.0007743472233,4.173,
179,jacobi-2d [C],FJclang,2.750,2.750332775,1.376654946,2.750,
178,seidel-2d [C],FJclang,1.732,1.731521467,20.01218212,1.732,
177,,FJclang,,0,,,
176,HPL [C],FJclang,0.001,0.000659422143,21.491544,0.001   [48|1],48|1
175,HPCG [C++],FJclang,0.031,0.03054272371,0.512397,0.031   [48|1],48|1
174,Babel [C++],FJclang,-0.004,-0.003985780011,1.682983,-0.004   [1|36],1|36
173,DLproxy [C],FJclang,-0.071,-0.07144949899,0.051197,-0.071   [1|48],1|48
172,,FJclang,,0,,,
171,AMG [C],FJclang,0.058,0.05793766121,4.766278,0.058   [8|6],8|6
170,CoMD [C],FJclang,0.086,0.08613823172,4.106655,0.086   [48|1],48|1
169,Laghos,FJclang,run error,-1,run error,run error,48|1
168,"MACSio [C,C++]",FJclang,-0.067,-0.06692766734,26.088822,-0.067   [48|1],48|1
167,miniAMR [C],FJclang,-0.045,-0.04493439987,19.744472,-0.045   [48|1],48|1
166,miniFE [C++],FJclang,-0.097,-0.09719713402,0.413541,-0.097   [4|12],4|12
165,miniTRI [C++],FJclang,0.217,0.2168124611,23.98239,0.217   [32|1],32|1
164,Nekbone [F],FJclang,run error,-1,run error,run error,48|1
163,"SW4lite [F,C++]",FJclang,0.011,0.01079551646,0.844332,0.011   [48|1],48|1
162,"SWFFT [F,C]",FJclang,0.035,0.0352881092,1.153278,0.035   [32|1],32|1
161,XSBench [C],FJclang,0.323,0.3232857699,1.246405,0.323   [1|48],1|48
160,,FJclang,,0,,,
159,"FFB [F,C,C++]",FJclang,compile error,-1,compile error,compile error,48|1
158,"FFVC [C++,F]",FJclang,-0.026,-0.02559111029,11.861619,-0.026   [1|36],1|36
157,MODYLAS [F],FJclang,0.001,0.0008081901435,29.238169,0.001   [16|3],16|3
156,"mVMC [C,F]",FJclang,-0.002,-0.00161843466,15.050345,-0.002   [24|2],24|2
155,NICAM [F],FJclang,-0.003,-0.00301654955,7.667701,-0.003   [10|4],10|4
154,NTChem [F],FJclang,-0.001,-0.001156333691,9.451424,-0.001   [12|4],12|4
153,QCD [F],FJclang,0.002,0.002120733504,8.030712,0.002   [24|2],24|2
152,,FJclang,,0,,,
151,perlbench [C],FJclang,-0.497,-0.4969108614,190.506341,-0.497,
150,gcc [C],FJclang,-0.656,-0.655689162,420.124742,-0.656,
149,mcf [C],FJclang,-0.546,-0.5457418793,237.601311,-0.546,
148,omnetpp [C++],FJclang,0.127,0.1271099803,135.933677,0.127,
147,xalancbmk [C++],FJclang,0.856,0.8560595087,122.409899,0.856,
146,xs [C],FJclang,-0.840,-0.8398197271,412.690488,-0.840,
145,deepsjeng [C++],FJclang,0.292,0.2917042752,135.409181,0.292,
144,leela [C++],FJclang,0.293,0.2929398235,174.73175,0.293,
143,exchanges [F],FJclang,0.000,0.0004885616402,137.00216,0.000,
142,xz [C],FJclang,-0.638,-0.6377078537,214.131233,-0.638,
141,,FJclang,,0,,,
140,bwaves [F],FJclang,-0.004,-0.00410015478,1.697253,-0.004   [1|32],1|32
139,"cactuBSSN [C++,C,F]",FJclang,0.249,0.2488682743,3.968055,0.249   [1|48],1|48
138,lbm [C],FJclang,0.109,0.1091969164,10.274759,0.109   [1|48],1|48
137,"wrf [F,C]",FJclang,0.002,0.001724022927,5.472085,0.002   [1|32],1|32
136,"cams [F,C]",FJclang,0.006,0.006179380661,11.851835,0.006   [1|48],1|48
135,"pops [F,C]",FJclang,0.004,0.003773261629,15.05806,0.004   [1|32],1|32
134,imagick [C],FJclang,5.651,5.651378873,2.823211,5.651   [1|8],1|8
133,nab [C],FJclang,0.207,0.2072703325,14.764139,0.207   [1|48],1|48
132,fotonik [F],FJclang,0.002,0.002323292222,8.871893,0.002   [1|48],1|48
131,roms [F],FJclang,-0.013,-0.01324144029,8.243061,-0.013   [1|48],1|48
130,,FJclang,,0,,,
129,md [F],FJclang,-0.008,-0.008182574679,110.691932,-0.008   [1|48],1|48
128,bwaves [F],FJclang,-0.045,-0.04515571392,0.566905,-0.045   [1|48],1|48
127,nab [C],FJclang,0.185,0.1848135793,21.940509,0.185   [1|48],1|48
126,bt [F],FJclang,-0.002,-0.001692890202,18.457783,-0.002   [1|48],1|48
125,botsalgn [C],FJclang,-0.043,-0.04300308928,0.716995,-0.043   [1|48],1|48
124,botsspar [C],FJclang,0.926,0.925997736,0.255303,0.926   [1|16],1|16
123,ilbdc [F],FJclang,-0.001,-0.001093820328,15.732017,-0.001   [1|48],1|48
122,fma [F],FJclang,-0.008,-0.008134629585,12.07996,-0.008   [1|48],1|48
121,swim [F],FJclang,-0.015,-0.0147943302,1.387491,-0.015   [1|32],1|32
120,imagick [C],FJclang,0.911,0.9109797431,2.39277,0.911   [1|48],1|48
119,mgrid [F],FJclang,-0.102,-0.1022652532,0.244785,-0.102   [1|32],1|32
118,applu [F],FJclang,-0.008,-0.008286583926,3.222679,-0.008   [1|32],1|32
117,smithwa [C],FJclang,2.361,2.361356601,0.916762,2.361   [1|48],1|48
116,kdtree [C++],FJclang,10.355,10.3551217,14.648001,10.355   [1|48],1|48
#y-axis,bench,compiler,relPerfGain,relPerfGain,runtime,,
347,,LLVM,,0,,,
346,Kernel 1 [C],LLVM,-0.961,-0.9611184948,0.038373,-0.961,
345,Kernel 2 [C],LLVM,-0.985,-0.985272308,0.116651,-0.985,
344,Kernel 3 [F],LLVM,-0.194,-0.1936457088,1.28E-02,-0.194,
343,Kernel 4 [F],LLVM,-0.019,-0.01902552205,2.06E-03,-0.019,
342,Kernel 5 [F],LLVM,-0.407,-0.4071146246,1.51E-03,-0.407,
341,Kernel 6 [F],LLVM,0.005,0.004778868766,2.74E-03,0.005,
340,Kernel 7 [F],LLVM,0.002,0.002360578301,8.08E-04,0.002,
339,Kernel 8 [F],LLVM,0.059,0.05911815638,8.95E-03,0.059,
338,Kernel 9 [F],LLVM,-0.002,-0.002195389644,8.69E-03,-0.002,
337,Kernel 10 [F],LLVM,-0.016,-0.01600290889,1.31E-03,-0.016,
336,Kernel 11 [F],LLVM,-0.008,-0.008439166554,8.67E-03,-0.008,
335,Kernel 12 [F],LLVM,-0.059,-0.05943586299,7.10E-04,-0.059,
334,Kernel 13 [F],LLVM,-0.005,-0.004694209595,8.94E-03,-0.005,
333,Kernel 14 [F],LLVM,-0.007,-0.007454096954,8.70E-03,-0.007,
332,Kernel 15 [F],LLVM,-0.001,-0.0007532956616,8.23E-03,-0.001,
331,Kernel 16 [C],LLVM,-0.634,-0.6335927367,0.001542,-0.634,
330,Kernel 17 [F],LLVM,-0.034,-0.03361779159,9.22E-04,-0.034,
329,Kernel 18 [F],LLVM,0.120,0.1199063231,5.09E-04,0.120,
328,Kernel 19 [F],LLVM,0.012,0.01192504256,8.54E-03,0.012,
327,Kernel 20 [F],LLVM,-0.007,-0.006818919804,8.81E-03,-0.007,
326,Kernel 21 [C],LLVM,-0.618,-0.6183810103,0.001643,-0.618,
325,Kernel 22 [C],LLVM,compile error,-1,compile error,compile error,
324,,LLVM,,0,,,
323,correlation [C],LLVM,0.965,0.9647052783,5.467913436,0.965,
322,covariance [C],LLVM,0.984,0.9840767934,5.41051922,0.984,
321,gemm [C],LLVM,0.389,0.3886148984,1.173308545,0.389,
320,gemver [C],LLVM,1.169,1.169458217,0.04261225928,1.169,
319,gesummv [C],LLVM,0.004,0.004345285307,0.02469589561,0.004,
318,symm [C],LLVM,-0.062,-0.06162611923,13.31113284,-0.062,
317,syr2k [C],LLVM,0.315,0.3146478323,4.886206053,0.315,
316,syrk [C],LLVM,0.169,0.1691562169,2.574986532,0.169,
315,trmm [C],LLVM,1.065,1.065391437,3.034179582,1.065,
314,2mm [C],LLVM,0.936,0.936159665,9.4371026,0.936,
313,3mm [C],LLVM,0.966,0.9660998084,15.44443637,0.966,
312,atax [C],LLVM,1.480,1.479944599,0.01883781049,1.480,
311,bicg [C],LLVM,-0.071,-0.07057931939,0.06131463125,-0.071,
310,doitgen [C],LLVM,1.499,1.499271634,2.328370693,1.499,
309,mvt [C],LLVM,1.163,1.162647493,0.03931657318,1.163,
308,cholesky [C],LLVM,-0.854,-0.8540458198,6.014962207,-0.854,
307,durbin [C],LLVM,-0.579,-0.5787539067,0.003487355076,-0.579,
306,gramschmidt [C],LLVM,0.077,0.07697973544,11.94326045,0.077,
305,lu [C],LLVM,1.389,1.388743247,11.96455673,1.389,
304,ludcmp [C],LLVM,-0.292,-0.2922440022,10.09136234,-0.292,
303,trisolv [C],LLVM,1.437,1.43715966,0.008856512606,1.437,
302,deriche [C],LLVM,-0.014,-0.01352348889,0.763091987,-0.014,
301,floyd-warshall [C],LLVM,1.537,1.536653185,0.1435406227,1.537,
300,nussinov [C],LLVM,1.511,1.511207141,9.139041296,1.511,
299,adi [C],LLVM,0.078,0.07839863944,44.88256549,0.078,
298,fdtd-2d [C],LLVM,0.818,0.8176675995,1.866860119,0.818,
297,heat-3d [C],LLVM,1.122,1.121963598,4.028916768,1.122,
296,jacobi-1d [C],LLVM,1.648,1.647648786,0.001513053663,1.648,
295,jacobi-2d [C],LLVM,1.188,1.187620335,2.360059504,1.188,
294,seidel-2d [C],LLVM,1.683,1.682706503,20.37632705,1.683,
293,,LLVM,,0,,,
292,HPL [C],LLVM,0.043,0.04285281669,20.622005,0.043   [48|1],48|1
291,HPCG [C++],LLVM,-0.116,-0.1161343022,0.597429,-0.116   [48|1],48|1
290,Babel [C++],LLVM,0.377,0.3772425817,1.217124,0.377   [1|24],1|24
289,DLproxy [C],LLVM,0.016,0.015703786,0.046804,0.016   [1|48],1|48
288,,LLVM,,0,,,
287,AMG [C],LLVM,0.206,0.2056846035,4.182209,0.206   [32|1],32|1
286,CoMD [C],LLVM,0.124,0.1243122075,3.967221,0.124   [48|1],48|1
285,Laghos,LLVM,0.586,0.5863651828,28.64153935,0.586   [48|1],48|1
284,"MACSio [C,C++]",LLVM,0.184,0.1836669358,20.565547,0.184   [48|1],48|1
283,miniAMR [C],LLVM,0.016,0.01567511954,18.566238,0.016   [48|1],48|1
282,miniFE [C++],LLVM,-0.374,-0.3737423552,0.596154,-0.374   [4|12],4|12
281,miniTRI [C++],LLVM,3.607,3.607051161,6.334219,3.607   [1|48],1|48
280,Nekbone [F],LLVM,0.027,0.02650396586,1.613268,0.027   [48|1],48|1
279,"SW4lite [F,C++]",LLVM,-0.022,-0.02224068006,0.87286,-0.022   [48|1],48|1
278,"SWFFT [F,C]",LLVM,0.055,0.05511733787,1.131604,0.055   [32|1],32|1
277,XSBench [C],LLVM,0.754,0.754476476,0.940081,0.754   [1|48],1|48
276,,LLVM,,0,,,
275,"FFB [F,C,C++]",LLVM,compile error,-1,compile error,compile error,48|1
